c Survey ID,c Timestamp,c Student ID,c Teacher ID,c Classroom Belonging - Understanding by Classmates,c Classroom Belonging - Connection to Teacher,c Classroom Belonging - Respect from Students,c Classroom Belonging - Matter to Others,c Classroom Belonging - Sense of Belonging,c Classroom Engagement - Excitement for Class,c Classroom Engagement - Focus on Activities,c Classroom Engagement - Eagerness to Participate,c Classroom Engagement - Talking About Class Ideas Outside Class,c Classroom Engagement - Interest in Class,c Engagement with Content - Thinking Hard About Texts
SURV001,05/02/2024,STU001,TCH001,Understand somewhat,Quite connected,Some respect,Matter somewhat,Belong somewhat,Quite excited,Once in a while,Quite eager,Sometimes,Quite interested,Most of the time
SURV001,05/02/2024,STU001,TCH001,Understand a little,Somewhat connected,Quite a bit of respect,Matter quite a bit,Belong a little bit,Extremely excited,Almost never,Somewhat eager,Frequently,Somewhat interested,Almost always
SURV002,10/02/2024,STU002,TCH002,Understand quite a bit,Extremely connected,A tremendous amount of respect,Matter a tremendous amount,Completely belong,Quite excited,Sometimes,Quite eager,Once in a while,Quite interested,Most of the time
SURV002,10/02/2024,STU002,TCH002,Understand somewhat,Slightly connected,Some respect,Matter somewhat,Belong somewhat,Somewhat excited,Once in a while,Somewhat eager,Frequently,Slightly interested,Almost always
SURV003,18/02/2024,STU003,TCH003,Do not understand at all,Not at all connected,No respect at all,Do not matter at all,Do not belong at all,Not at all excited,Almost never,Not at all eager,Almost never,Not at all interested,Almost never
SURV003,18/02/2024,STU003,TCH003,Understand a little,Somewhat connected,A little bit of respect,Matter somewhat,Belong a little bit,Slightly excited,Once in a while,Somewhat eager,Sometimes,Somewhat interested,Most of the time
SURV004,25/02/2024,STU004,TCH004,Understand quite a bit,Quite connected,Quite a bit of respect,Matter quite a bit,Belong somewhat,Quite excited,Almost never,Quite eager,Almost never,Extremely interested,Almost always
SURV004,25/02/2024,STU004,TCH004,Completely understand,Extremely connected,A tremendous amount of respect,Matter a tremendous amount,Completely belong,Extremely excited,Frequently,Extremely eager,Once in a while,Quite interested,Most of the time
SURV005,01/03/2024,STU005,TCH005,Understand somewhat,Somewhat connected,Some respect,Matter somewhat,Belong somewhat,Quite excited,Almost never,Quite eager,Frequently,Quite interested,Almost always
SURV005,01/03/2024,STU005,TCH005,Do not understand at all,Not at all connected,No respect at all,Do not matter at all,Do not belong at all,Not at all excited,Once in a while,Not at all eager,Almost never,Not at all interested,Almost never
